 -3.1415927e+00	 -1.2246468e-16	 -1.0000000e+00	  1.2246468e-16
 -3.1241394e+00	 -1.7452406e-02	 -9.9984770e-01	  1.7455065e-02
 -3.1066861e+00	 -3.4899497e-02	 -9.9939083e-01	  3.4920769e-02
 -3.0892328e+00	 -5.2335956e-02	 -9.9862953e-01	  5.2407779e-02
 -3.0717795e+00	 -6.9756474e-02	 -9.9756405e-01	  6.9926812e-02
 -3.0543262e+00	 -8.7155743e-02	 -9.9619470e-01	  8.7488664e-02
 -3.0368729e+00	 -1.0452846e-01	 -9.9452190e-01	  1.0510424e-01
 -3.0194196e+00	 -1.2186934e-01	 -9.9254615e-01	  1.2278456e-01
 -3.0019663e+00	 -1.3917310e-01	 -9.9026807e-01	  1.4054083e-01
 -2.9845130e+00	 -1.5643447e-01	 -9.8768834e-01	  1.5838444e-01
 -2.9670597e+00	 -1.7364818e-01	 -9.8480775e-01	  1.7632698e-01
 -2.9496064e+00	 -1.9080900e-01	 -9.8162718e-01	  1.9438031e-01
 -2.9321531e+00	 -2.0791169e-01	 -9.7814760e-01	  2.1255656e-01
 -2.9146999e+00	 -2.2495105e-01	 -9.7437006e-01	  2.3086819e-01
 -2.8972466e+00	 -2.4192190e-01	 -9.7029573e-01	  2.4932800e-01
 -2.8797933e+00	 -2.5881905e-01	 -9.6592583e-01	  2.6794919e-01
 -2.8623400e+00	 -2.7563736e-01	 -9.6126170e-01	  2.8674539e-01
 -2.8448867e+00	 -2.9237170e-01	 -9.5630476e-01	  3.0573068e-01
 -2.8274334e+00	 -3.0901699e-01	 -9.5105652e-01	  3.2491970e-01
 -2.8099801e+00	 -3.2556815e-01	 -9.4551858e-01	  3.4432761e-01
 -2.7925268e+00	 -3.4202014e-01	 -9.3969262e-01	  3.6397023e-01
 -2.7750735e+00	 -3.5836795e-01	 -9.3358043e-01	  3.8386404e-01
 -2.7576202e+00	 -3.7460659e-01	 -9.2718385e-01	  4.0402623e-01
 -2.7401669e+00	 -3.9073113e-01	 -9.2050485e-01	  4.2447482e-01
 -2.7227136e+00	 -4.0673664e-01	 -9.1354546e-01	  4.4522869e-01
 -2.7052603e+00	 -4.2261826e-01	 -9.0630779e-01	  4.6630766e-01
 -2.6878070e+00	 -4.3837115e-01	 -8.9879405e-01	  4.8773259e-01
 -2.6703538e+00	 -4.5399050e-01	 -8.9100652e-01	  5.0952545e-01
 -2.6529005e+00	 -4.6947156e-01	 -8.8294759e-01	  5.3170943e-01
 -2.6354472e+00	 -4.8480962e-01	 -8.7461971e-01	  5.5430905e-01
 -2.6179939e+00	 -5.0000000e-01	 -8.6602540e-01	  5.7735027e-01
 -2.6005406e+00	 -5.1503807e-01	 -8.5716730e-01	  6.0086062e-01
 -2.5830873e+00	 -5.2991926e-01	 -8.4804810e-01	  6.2486935e-01
 -2.5656340e+00	 -5.4463904e-01	 -8.3867057e-01	  6.4940759e-01
 -2.5481807e+00	 -5.5919290e-01	 -8.2903757e-01	  6.7450852e-01
 -2.5307274e+00	 -5.7357644e-01	 -8.1915204e-01	  7.0020754e-01
